date	cumulative_cases
2019-12-08	1
2019-12-09	1
2019-12-10	2
2019-12-11	2
2019-12-12	2
2019-12-13	3
2019-12-14	3
2019-12-15	5
2019-12-16	6
2019-12-17	7
2019-12-18	7
2019-12-19	9
2019-12-20	13
2019-12-21	17
2019-12-22	20
2019-12-23	24
2019-12-24	24
2019-12-25	28
2019-12-26	29
2019-12-27	32
2019-12-28	34
2019-12-29	40
2019-12-30	45
2019-12-31	47
2020-01-01	57
2020-01-02	64
2020-01-03	77
2020-01-04	90
2020-01-05	105
2020-01-06	124
2020-01-07	155
2020-01-08	199
2020-01-09	231
2020-01-10	264
2020-01-11	297
2020-01-12	327
2020-01-13	349
2020-01-14	372
2020-01-15	395
2020-01-16	408
2020-01-17	414
2020-01-18	420
2020-01-19	422
2020-01-20	445
2020-01-21	466
2020-01-22	548
2020-01-23	641
2020-01-24	918
2020-01-25	1401
2020-01-26	2067
2020-01-27	2869
2020-01-28	5501
2020-01-29	6077
2020-01-30	8131
2020-01-31	9790
2020-02-01	11878
2020-02-02	16615
2020-02-03	19701
2020-02-04	23690
2020-02-05	27419
2020-02-06	30563
2020-02-07	34085
2020-02-08	36788
2020-02-09	39800
2020-02-10	42316
2020-02-11	44337
2020-02-12	44709
2020-02-13	59842
2020-02-14	66302
2020-02-15	68357
2020-02-16	70456
2020-02-17	72374
2020-02-18	74149
2020-02-19	74556
2020-02-20	75009
2020-02-21	75482
2020-02-22	76932
2020-02-23	76948
2020-02-24	77162
2020-02-25	77670
2020-02-26	78075
2020-02-27	78508
2020-02-28	78834
2020-02-29	79261
2020-03-01	79836
2020-03-02	80036
2020-03-03	80161
2020-03-04	80281
2020-03-05	80432
2020-03-06	80583
2020-03-07	80662
2020-03-08	80709
2020-03-09	80745
2020-03-10	80767
2020-03-11	80795
2020-03-12	80803
2020-03-13	80811
2020-03-14	80837
2020-03-15	80858
2020-03-16	80878
2020-03-17	80896
