date	new_cases
2020-01-15	1
2020-01-16	0
2020-01-17	2
2020-01-18	0
2020-01-19	3
2020-01-20	1
2020-01-21	1
2020-01-22	0
2020-01-23	1
2020-01-24	1
2020-01-25	3
2020-01-26	2
2020-01-27	2
2020-01-28	1
2020-01-29	2
2020-01-30	3
2020-01-31	2
2020-02-01	2
2020-02-02	5
2020-02-03	5
2020-02-04	4
2020-02-05	6
2020-02-06	1
2020-02-07	6
2020-02-08	1
2020-02-09	3
2020-02-10	1
2020-02-11	0
2020-02-12	3
2020-02-13	4
2020-02-14	1
2020-02-15	3
2020-02-16	4
2020-02-17	3
2020-02-18	5
2020-02-19	3
2020-02-20	2
2020-02-21	5
2020-02-22	2
2020-02-23	2
2020-02-24	0
