date	new_cases
2020-02-17	1
2020-02-18	1
2020-02-19	0
2020-02-20	3
2020-02-21	3
2020-02-22	0
2020-02-23	5
2020-02-24	8
2020-02-25	13
2020-02-26	12
2020-02-27	17
2020-02-28	27
2020-02-29	26
2020-03-01	38
2020-03-02	42
2020-03-03	52
2020-03-04	78
2020-03-05	94
2020-03-06	123
2020-03-07	107
2020-03-08	91
2020-03-09	123
2020-03-10	134
2020-03-11	171
2020-03-12	197
2020-03-13	212
2020-03-14	211
2020-03-15	233
2020-03-16	248
2020-03-17	280
2020-03-18	270
2020-03-19	321
2020-03-20	382
2020-03-21	384
2020-03-22	370
2020-03-23	286
